"firm","labeler_code"
"UPSHER SMITH LABS","00245"
"WEST-WARD PHARM CORP","54832"
"STRIDES PHARMA INTL","42543"
"BEDFORD LABS","23650"
"BRECKENRIDGE PHARM","51991"
"KENTON",NA
"IMPAX LABS INC",NA
"GENUS","64950"
"ZYDUS PHARMS USA INC","49315"
"CHARTWELL","62135"
"MICRO LABS","42571"
"HERITAGE PHARMS LABS","14539"
"TARO",NA
"WRASER PHARMS LLC","66992"
"BOCA PHARMA LLC",NA
"ACTAVIS ELIZABETH","00228"
"CHARTWELL MOLECULAR","62135"
"ACCORD HLTHCARE","16729"
"IMPAX LABS",NA
"AMNEAL PHARMS NY","00115"
"SUN PHARM INDS","43136"
"HERITAGE PHARMA","14539"
"XGEN PHARMS","39822"
"SUN PHARM INDS LTD","43136"
"WOCKHARDT","64679"
"HIKMA PHARMS","00054"
"IPCA LABS LTD","83980"
"EBEWE PHARMA",NA
"PRASCO","66993"
"AMNEAL PHARMS","00115"
"AM REGENT",NA
"WOCKHARDT BIO AG","64679"
"NESHER PHARMS",NA
"INVAGEN PHARMS",NA
"HETERO LABS LTD III","68554"
"RENEW PHARMS","70100"
"SOMERSET THERAPS LLC","70069"
"RANBAXY LABS LTD",NA
"RANBAXY",NA
"AVANTHI INC",NA
"WATSON LABS INC",NA
"NORTHSTAR HLTHCARE","16714"
"PHARMACHEMIE BV",NA
"HERITAGE PHARMS INC","14539"
"BAXTER HLTHCARE CORP","00338"
"INGENUS PHARMS NJ","50742"
"GRANULES","62207"
"MIRROR PHARMS LLC",NA
"LGM PHARMA",NA
"SAGENT PHARMS INC","25021"
"BRECKENRIDGE","51991"
"UNICHEM","29300"
"VINTAGE PHARMS","71223"
"CITRUSPHRMA",NA
"LABS JUVISE","26550"
"B BRAUN","00264"
"TEVA PARENTERAL","00093"
"PRAGMA",NA
"IVAX SUB TEVA PHARMS",NA
"SAMSON MEDCL","20146"
"HQ SPECLT PHARMA",NA
"DR REDDYS LABS SA","43598"
"HERITAGE","14539"
"SCIEGEN PHARMS INC","50228"
"SAPTALIS PHARMS","71656"
"AARXION ANDA HLDING",NA
"ISTITUTO BIO ITA SPA",NA
"HIKMA FARMACEUTICA","00054"
"AUROBINDO","59651"
"ORCHID HLTHCARE",NA
"FACTA FARMA",NA
