firm,ndc_firm_id
"BioXcel Therapeutics, Inc.",81092
"Fennec Pharmaceuticals, Inc.",73077
NUVATION BIO INC.,84651
"RVL Pharmaceuticals, Inc.",73687
"Profounda, Inc.",69051
"ABON PHARMACEUTICALS, LLC",42239
HK inno.N Corporation,84988
"Tarsus Pharmaceuticals, Inc.",81942
Mylan Pharmaceuticals Inc.,00378
"Akeso Biopharma, Inc.",83654
"KADMON PHARMACEUTICALS, LLC",79802
Global Life Sciences Solutions USA LLC,79403
Seagen Inc.,51144
"SATO PHARMACEUTICAL CO., LTD.",49873
"Liquidia Technologies, Inc.",72964
"XCOVERY HOLDINGS, INC.",83076
INTRABIO LTD.,83853
"PIRAMAL CRITICAL CARE, INC.",66794
Novartis Pharmaceuticals Corporation,00078
"Claridei Laboratories, Inc.",61387
"AZURITY PHARMACEUTICALS, INC.",24338
"Deciphera Pharmaceuticals, LLC",73207
"Adamas Pharmaceuticals, Inc.",70482
Orphalan S.A.,81802
MISSION PHARMACAL COMPANY,00178
"HARM REDUCTION THERAPEUTICS, INC.",82954
"AVION PHARMACEUTICALS, LLC",75854
"MyoKardia, Inc.",73625
"MC2 Therapeutics, Ltd.",73499
"Adamas Pharma, LLC",70482
"Nexus Pharmaceuticals, Inc.",14789
"ATHENA BIOSCIENCE, LLC",71511
IMMUNEX CORPORATION,58406
"MAIA PHARMACEUTICALS, INC.",70511
"COSMECCA KOREA CO., LTD.",53727
"ALMIRALL, LLC",16110
"Nielsen BioSciences, Inc.",59584
"PRECIGEN, INC.",84768
"CIPLA USA, INC.",69097
PANACEA BIOTEC LIMITED,43817
"ARCUTIS Biotherapeutics, Inc.",80610
"GLO Pharma, Inc.",82325
"Acer Therapeutics, Inc.",72542
"Dermala, Inc.",81953
"Neos Therapeutics, LP",62542
"Spark Therapeutics, Inc.",71394
"Lenz Therapeutics, Inc.",84226
"Primus Pharmaceuticals, Inc.",68040
"Bio-Thera Solutions, Ltd.",82143
"Travere Therapeutics, Inc.",68974
"AMYRIS, INC.",73517
"ADVANCE PHARMACEUTICAL, INC.",17714
"MIRUM PHARMACEUTICALS, INC.",79378
"DXM Pharmaceutical, Inc.",71598
"RODAN & FIELDS, LLC",14222
"Neurelis, Inc.",72252
"ARMIS BIOPHARMA, INC.",81793
Delta Pharmaceuticals Ltd.,66353
SQ Innovation AG,81137
"Eton Pharmaceuticals, Inc.",71863
"Ocular Therapeutix, Inc.",70382
"Cosette Pharmaceuticals, Inc.",00713
Journey Medical Corporation,69489
"Somerset Therapeutics, LLC",70069
Servier Pharmaceuticals LLC,72694
NOXELL CORPORATION,22700
Nephron Pharmaceuticals Corporation,00487
"American Regent, Inc.",00517
"Horizon Therapeutics USA, Inc.",75987
"Boehringer Ingelheim Pharmaceuticals, Inc.",00597
"Hainan Poly Pharm Co., Ltd.",14335
"NAPO PHARMACEUTICALS, INC.",70564
"Alimera Sciences, Inc.",68611
AHAVA-DEAD SEA LABORATORIES LTD.,60289
"Nivagen Pharmaceuticals, Inc.",75834
"Provention Bio, Inc.",73650
"Acrotech Biopharma, LLC",72893
"ADVANTICE HEALTH, LLC",16864
EXoCoBio Inc.,72951
R-Pharm US Operating LLC,70020
Pedicis Research LLC,51151
"Evoke Pharma, Inc.",72089
Impel Pharmaceuticals Inc.,77530
"Amneal Pharmaceuticals, LLC",60846
"Charlotte's Web, Inc.",79845
"VIRTUE LABS, LLC",80855
"AYTU BIOPHARMA, INC.",69654
"Mobius Therapeutics, LLC",49771
"Botanix SB, Inc.",83723
RB HEALTH (US) LLC,59316
"Lumicell, Inc.",82292
I2PURE CORP.,83465
"FORMULATED SOLUTIONS, LLC",23667
"SPRINGWORKS THERAPEUTICS, INC.",82448
Genexa Inc.,69676
"FERA PHARMACEUTICALS, LLC",48102
"ROMAN HEALTH VENTURES, INC.",72484
Elite Pharmaceutical Solution Inc.,70807
"STELLALIFE, INC.",69685
"Tolmar, Inc.",62935
"Breckenridge Pharmaceutical, Inc.",51991
ALPHA COGNITION INC.,84054
Novo Nordisk Inc.,00169
"ANJON BIOLOGICS, INC.",69148
"QINGDAO HAINUO BIOLOGICAL ENGINEERING CO., LTD.",78149
Joonem LLC,80327
Vericel Corporation,69866
"ORCA PRODUCTS, LLC",82939
AstraZeneca,00186
ZYDUS LIFESCIENCES LIMITED,49315
"SPECTRUM PHARMACEUTICALS, INC.",76961
HydraFacial LLC,85760
"WELLA OPERATIONS US, LLC",82157
"Scienture, Inc.",83245
CALLIDITAS THERAPEUTICS AB,81749
EMERGENT BIODEFENSE OPERATIONS LANSING LLC,64678
NOON AESTHETICS M.R LTD.,78863
HALEON US HOLDINGS LLC,00031
Sanofi-Aventis U.S. LLC,00024
"Sumitomo Pharma America, Inc.",63402
"Derma Research Group, Inc.",82038
